code,year,indicator,subtype,type,value,id
ZAC,2016,homicide,total,raw,563,1
AGU,2017,homicide,total,raw,83,1
BCN,2017,homicide,total,raw,2322,1
BCS,2017,homicide,total,raw,788,1
CAM,2017,homicide,total,raw,71,1
COA,2017,homicide,total,raw,251,1
COL,2017,homicide,total,raw,817,1
CHP,2017,homicide,total,raw,542,1
CHH,2017,homicide,total,raw,2012,1
DIF,2017,homicide,total,raw,1192,1
DUR,2017,homicide,total,raw,225,1
GUA,2017,homicide,total,raw,1435,1
GRO,2017,homicide,total,raw,2543,1
HID,2017,homicide,total,raw,236,1
JAL,2017,homicide,total,raw,1580,1
MEX,2017,homicide,total,raw,2427,1
MIC,2017,homicide,total,raw,1511,1
MOR,2017,homicide,total,raw,652,1
NAY,2017,homicide,total,raw,354,1
NLE,2017,homicide,total,raw,656,1
OAX,2017,homicide,total,raw,1023,1
PUE,2017,homicide,total,raw,1054,1
QUE,2017,homicide,total,raw,194,1
ROO,2017,homicide,total,raw,363,1
SLP,2017,homicide,total,raw,524,1
SIN,2017,homicide,total,raw,1557,1
SON,2017,homicide,total,raw,759,1
TAB,2017,homicide,total,raw,430,1
TAM,2017,homicide,total,raw,1057,1
TLA,2017,homicide,total,raw,124,1
VER,2017,homicide,total,raw,2108,1
YUC,2017,homicide,total,raw,47,1
ZAC,2017,homicide,total,raw,688,1
AGU,2018,homicide,total,raw,84,1
BCN,2018,homicide,total,raw,3149.454545,1
BCS,2018,homicide,total,raw,197.4545455,1
CAM,2018,homicide,total,raw,76.36363636,1
COA,2018,homicide,total,raw,250.9090909,1
COL,2018,homicide,total,raw,725.4545455,1
CHP,2018,homicide,total,raw,630.5454545,1
CHH,2018,homicide,total,raw,2268,1
DIF,2018,homicide,total,raw,1365.818182,1
DUR,2018,homicide,total,raw,183.2727273,1
GUA,2018,homicide,total,raw,3281.454545,1
GRO,2018,homicide,total,raw,2525.454545,1
HID,2018,homicide,total,raw,252,1
JAL,2018,homicide,total,raw,2404.363636,1
MEX,2018,homicide,total,raw,2720.727273,1
MIC,2018,homicide,total,raw,1645.090909,1
MOR,2018,homicide,total,raw,792,1
NAY,2018,homicide,total,raw,423.2727273,1
NLE,2018,homicide,total,raw,792,1
OAX,2018,homicide,total,raw,1224,1
PUE,2018,homicide,total,raw,1311.272727,1
QUE,2018,homicide,total,raw,193.0909091,1
ROO,2018,homicide,total,raw,768,1
SLP,2018,homicide,total,raw,567.2727273,1
SIN,2018,homicide,total,raw,1133.454545,1
SON,2018,homicide,total,raw,881.4545455,1
TAB,2018,homicide,total,raw,561.8181818,1
TAM,2018,homicide,total,raw,1113.818182,1
TLA,2018,homicide,total,raw,140.7272727,1
VER,2018,homicide,total,raw,1714.909091,1
YUC,2018,homicide,total,raw,55.63636364,1
ZAC,2018,homicide,total,raw,696,1
AGU,2015,organized crime,extortion,raw,215.8085106,2
BCN,2015,organized crime,extortion,raw,1552.503145,2
BCS,2015,organized crime,extortion,raw,303.5747126,2
CAM,2015,organized crime,extortion,raw,278.8,2
COA,2015,organized crime,extortion,raw,387,2
COL,2015,organized crime,extortion,raw,96.45454545,2
CHP,2015,organized crime,extortion,raw,2390.8125,2
CHH,2015,organized crime,extortion,raw,127.2658228,2
DIF,2015,organized crime,extortion,raw,4723.91623,2
DUR,2015,organized crime,extortion,raw,771.7460317,2
GUA,2015,organized crime,extortion,raw,72.77777778,2
GRO,2015,organized crime,extortion,raw,3815.625,2
HID,2015,organized crime,extortion,raw,268.8865979,2
JAL,2015,organized crime,extortion,raw,6637.258824,2
MEX,2015,organized crime,extortion,raw,5757.393939,2
MIC,2015,organized crime,extortion,raw,531.0540541,2
MOR,2015,organized crime,extortion,raw,1933.967213,2
NAY,2015,organized crime,extortion,raw,13.2962963,2
NLE,2015,organized crime,extortion,raw,7910.842105,2
OAX,2015,organized crime,extortion,raw,284.4,2
PUE,2015,organized crime,extortion,raw,2636.363636,2
QUE,2015,organized crime,extortion,raw,36.44776119,2
ROO,2015,organized crime,extortion,raw,1169.508197,2
SLP,2015,organized crime,extortion,raw,2087.553191,2
SIN,2015,organized crime,extortion,raw,1940.90625,2
SON,2015,organized crime,extortion,raw,168.4193548,2
TAB,2015,organized crime,extortion,raw,1724.263158,2
TAM,2015,organized crime,extortion,raw,3404.42623,2
TLA,2015,organized crime,extortion,raw,74.66666667,2
VER,2015,organized crime,extortion,raw,858.312,2
YUC,2015,organized crime,extortion,raw,528.3076923,2
ZAC,2015,organized crime,extortion,raw,1292.375,2
AGU,2016,organized crime,extortion,raw,359.6808511,2
BCN,2016,organized crime,extortion,raw,1261.408805,2
BCS,2016,organized crime,extortion,raw,861.1609195,2
CAM,2016,organized crime,extortion,raw,147.6,2
COA,2016,organized crime,extortion,raw,258,2
COL,2016,organized crime,extortion,raw,413.3766234,2
CHP,2016,organized crime,extortion,raw,1652.1875,2
CHH,2016,organized crime,extortion,raw,289.2405063,2
DIF,2016,organized crime,extortion,raw,4502.136126,2
DUR,2016,organized crime,extortion,raw,605.5238095,2
GUA,2016,organized crime,extortion,raw,29.11111111,2
GRO,2016,organized crime,extortion,raw,5062.0625,2
HID,2016,organized crime,extortion,raw,518.5670103,2
JAL,2016,organized crime,extortion,raw,5315.882353,2
MEX,2016,organized crime,extortion,raw,8636.090909,2
MIC,2016,organized crime,extortion,raw,195.0810811,2
MOR,2016,organized crime,extortion,raw,744.6885246,2
NAY,2016,organized crime,extortion,raw,66.48148148,2
NLE,2016,organized crime,extortion,raw,9691.894737,2
OAX,2016,organized crime,extortion,raw,418.7,2
PUE,2016,organized crime,extortion,raw,1169.586777,2
QUE,2016,organized crime,extortion,raw,121.4925373,2
ROO,2016,organized crime,extortion,raw,413.3606557,2
SLP,2016,organized crime,extortion,raw,3003.382979,2
SIN,2016,organized crime,extortion,raw,1622.25,2
SON,2016,organized crime,extortion,raw,1237.516129,2
TAB,2016,organized crime,extortion,raw,1419.421053,2
TAM,2016,organized crime,extortion,raw,1917.229508,2
TLA,2016,organized crime,extortion,raw,23199.56028,2
VER,2016,organized crime,extortion,raw,1257.984,2
YUC,2016,organized crime,extortion,raw,442.8461538,2
ZAC,2016,organized crime,extortion,raw,1081.375,2
AGU,2017,organized crime,extortion,raw,642.287234,2
BCN,2017,organized crime,extortion,raw,1386.163522,2
BCS,2017,organized crime,extortion,raw,1418.747126,2
CAM,2017,organized crime,extortion,raw,188.6,2
COA,2017,organized crime,extortion,raw,236.5,2
COL,2017,organized crime,extortion,raw,110.2337662,2
CHP,2017,organized crime,extortion,raw,1574.4375,2
CHH,2017,organized crime,extortion,raw,208.2531646,2
DIF,2017,organized crime,extortion,raw,3644.586387,2
DUR,2017,organized crime,extortion,raw,866.7301587,2
GUA,2017,organized crime,extortion,raw,29.11111111,2
GRO,2017,organized crime,extortion,raw,4553.3125,2
HID,2017,organized crime,extortion,raw,857.8762887,2
JAL,2017,organized crime,extortion,raw,4351.429412,2
MEX,2017,organized crime,extortion,raw,9166.606061,2
MIC,2017,organized crime,extortion,raw,260.1081081,2
MOR,2017,organized crime,extortion,raw,477.9344262,2
NAY,2017,organized crime,extortion,raw,13.2962963,2
NLE,2017,organized crime,extortion,raw,10968.31579,2
OAX,2017,organized crime,extortion,raw,671.5,2
PUE,2017,organized crime,extortion,raw,1131.239669,2
QUE,2017,organized crime,extortion,raw,109.3432836,2
ROO,2017,organized crime,extortion,raw,776.3114754,2
SLP,2017,organized crime,extortion,raw,2087.553191,2
SIN,2017,organized crime,extortion,raw,753.1875,2
SON,2017,organized crime,extortion,raw,278.2580645,2
TAB,2017,organized crime,extortion,raw,2457.789474,2
TAM,2017,organized crime,extortion,raw,3296.918033,2
TLA,2017,organized crime,extortion,raw,66.37037037,2
VER,2017,organized crime,extortion,raw,4016.376,2
YUC,2017,organized crime,extortion,raw,256.3846154,2
ZAC,2017,organized crime,extortion,raw,2597.9375,2
AGU,2018,organized crime,extortion,raw,734.3094778,2
BCN,2018,organized crime,extortion,raw,967.7941681,2
BCS,2018,organized crime,extortion,raw,1115.172414,2
CAM,2018,organized crime,extortion,raw,143.1272727,2
COA,2018,organized crime,extortion,raw,328.3636364,2
COL,2018,organized crime,extortion,raw,353.2491145,2
CHP,2018,organized crime,extortion,raw,2035.636364,2
CHH,2018,organized crime,extortion,raw,100.9712313,2
DIF,2018,organized crime,extortion,raw,3774.294146,2
DUR,2018,organized crime,extortion,raw,893.7142857,2
GUA,2018,organized crime,extortion,raw,103.2121212,2
GRO,2018,organized crime,extortion,raw,5688.75,2
HID,2018,organized crime,extortion,raw,991.737582,2
JAL,2018,organized crime,extortion,raw,5782.575401,2
MEX,2018,organized crime,extortion,raw,11508.46281,2
MIC,2018,organized crime,extortion,raw,35.46928747,2
MOR,2018,organized crime,extortion,raw,230.3785395,2
NAY,2018,organized crime,extortion,raw,58.02020202,2
NLE,2018,organized crime,extortion,raw,8613.818182,2
OAX,2018,organized crime,extortion,raw,1249.636364,2
PUE,2018,organized crime,extortion,raw,1725.619835,2
QUE,2018,organized crime,extortion,raw,656.0597015,2
ROO,2018,organized crime,extortion,raw,1352.816692,2
SLP,2018,organized crime,extortion,raw,1616.170213,2
SIN,2018,organized crime,extortion,raw,1042.875,2
SON,2018,organized crime,extortion,raw,79.88269795,2
TAB,2018,organized crime,extortion,raw,1548.45933,2
TAM,2018,organized crime,extortion,raw,2541.102832,2
TLA,2018,organized crime,extortion,raw,9.050505051,2
VER,2018,organized crime,extortion,raw,3695.328,2
YUC,2018,organized crime,extortion,raw,33.9020979,2
ZAC,2018,organized crime,extortion,raw,3165,2
AGU,2015,organized crime,kidnapping,raw,15,3
BCN,2015,organized crime,kidnapping,raw,147,3
BCS,2015,organized crime,kidnapping,raw,1786.235005,3
CAM,2015,organized crime,kidnapping,raw,7.5,3
COA,2015,organized crime,kidnapping,raw,279,3
COL,2015,organized crime,kidnapping,raw,18,3
CHP,2015,organized crime,kidnapping,raw,48,3
CHH,2015,organized crime,kidnapping,raw,14,3
DIF,2015,organized crime,kidnapping,raw,144.6666667,3
DUR,2015,organized crime,kidnapping,raw,42,3
GUA,2015,organized crime,kidnapping,raw,40.33333333,3
GRO,2015,organized crime,kidnapping,raw,251.4285714,3
HID,2015,organized crime,kidnapping,raw,45,3
JAL,2015,organized crime,kidnapping,raw,30,3
MEX,2015,organized crime,kidnapping,raw,748,3
MIC,2015,organized crime,kidnapping,raw,158.6666667,3
MOR,2015,organized crime,kidnapping,raw,80.14285714,3
NAY,2015,organized crime,kidnapping,raw,286,3
NLE,2015,organized crime,kidnapping,raw,73.33333333,3
OAX,2015,organized crime,kidnapping,raw,34,3
PUE,2015,organized crime,kidnapping,raw,80,3
QUE,2015,organized crime,kidnapping,raw,28,3
ROO,2015,organized crime,kidnapping,raw,154,3
SLP,2015,organized crime,kidnapping,raw,96.66666667,3
SIN,2015,organized crime,kidnapping,raw,28,3
SON,2015,organized crime,kidnapping,raw,15,3
TAB,2015,organized crime,kidnapping,raw,1782,3
TAM,2015,organized crime,kidnapping,raw,1798.5,3
TLA,2015,organized crime,kidnapping,raw,18,3
VER,2015,organized crime,kidnapping,raw,928,3
YUC,2015,organized crime,kidnapping,raw,5282.436315,3
ZAC,2015,organized crime,kidnapping,raw,54,3
AGU,2016,organized crime,kidnapping,raw,6,3
BCN,2016,organized crime,kidnapping,raw,105,3
BCS,2016,organized crime,kidnapping,raw,1821.772959,3
CAM,2016,organized crime,kidnapping,raw,8.75,3
COA,2016,organized crime,kidnapping,raw,297,3
COL,2016,organized crime,kidnapping,raw,22.5,3
CHP,2016,organized crime,kidnapping,raw,140,3
CHH,2016,organized crime,kidnapping,raw,20,3
DIF,2016,organized crime,kidnapping,raw,126,3
DUR,2016,organized crime,kidnapping,raw,84,3
GUA,2016,organized crime,kidnapping,raw,29.33333333,3
GRO,2016,organized crime,kidnapping,raw,244.5714286,3
HID,2016,organized crime,kidnapping,raw,36,3
JAL,2016,organized crime,kidnapping,raw,25.5,3
MEX,2016,organized crime,kidnapping,raw,1092,3
MIC,2016,organized crime,kidnapping,raw,135.3333333,3
MOR,2016,organized crime,kidnapping,raw,111.7142857,3
NAY,2016,organized crime,kidnapping,raw,66,3
NLE,2016,organized crime,kidnapping,raw,100,3
OAX,2016,organized crime,kidnapping,raw,64,3
PUE,2016,organized crime,kidnapping,raw,82,3
QUE,2016,organized crime,kidnapping,raw,16,3
ROO,2016,organized crime,kidnapping,raw,176,3
SLP,2016,organized crime,kidnapping,raw,100,3
SIN,2016,organized crime,kidnapping,raw,39.66666667,3
SON,2016,organized crime,kidnapping,raw,9,3
TAB,2016,organized crime,kidnapping,raw,1980,3
TAM,2016,organized crime,kidnapping,raw,1303.5,3
TLA,2016,organized crime,kidnapping,raw,12,3
VER,2016,organized crime,kidnapping,raw,1136,3
YUC,2016,organized crime,kidnapping,raw,1,3
ZAC,2016,organized crime,kidnapping,raw,94,3
AGU,2017,organized crime,kidnapping,raw,18,3
BCN,2017,organized crime,kidnapping,raw,91,3
BCS,2017,organized crime,kidnapping,raw,66,3
CAM,2017,organized crime,kidnapping,raw,8.75,3
COA,2017,organized crime,kidnapping,raw,162,3
COL,2017,organized crime,kidnapping,raw,22.5,3
CHP,2017,organized crime,kidnapping,raw,252,3
CHH,2017,organized crime,kidnapping,raw,30,3
DIF,2017,organized crime,kidnapping,raw,116.6666667,3
DUR,2017,organized crime,kidnapping,raw,120,3
GUA,2017,organized crime,kidnapping,raw,62.33333333,3
GRO,2017,organized crime,kidnapping,raw,180.5714286,3
HID,2017,organized crime,kidnapping,raw,36,3
JAL,2017,organized crime,kidnapping,raw,21,3
MEX,2017,organized crime,kidnapping,raw,768,3
MIC,2017,organized crime,kidnapping,raw,149.3333333,3
MOR,2017,organized crime,kidnapping,raw,111.7142857,3
NAY,2017,organized crime,kidnapping,raw,66,3
NLE,2017,organized crime,kidnapping,raw,120,3
OAX,2017,organized crime,kidnapping,raw,110,3
PUE,2017,organized crime,kidnapping,raw,76,3
QUE,2017,organized crime,kidnapping,raw,14.66666667,3
ROO,2017,organized crime,kidnapping,raw,638,3
SLP,2017,organized crime,kidnapping,raw,103.3333333,3
SIN,2017,organized crime,kidnapping,raw,46.66666667,3
SON,2017,organized crime,kidnapping,raw,3,3
TAB,2017,organized crime,kidnapping,raw,1870,3
TAM,2017,organized crime,kidnapping,raw,1094.5,3
TLA,2017,organized crime,kidnapping,raw,18,3
VER,2017,organized crime,kidnapping,raw,1552,3
YUC,2017,organized crime,kidnapping,raw,5685.151393,3
ZAC,2017,organized crime,kidnapping,raw,148,3
AGU,2018,organized crime,kidnapping,raw,29.45454545,3
BCN,2018,organized crime,kidnapping,raw,114.5454545,3
BCS,2018,organized crime,kidnapping,raw,1554.81518,3
CAM,2018,organized crime,kidnapping,raw,16.36363636,3
COA,2018,organized crime,kidnapping,raw,127.6363636,3
COL,2018,organized crime,kidnapping,raw,83.45454545,3
CHP,2018,organized crime,kidnapping,raw,200.7272727,3
CHH,2018,organized crime,kidnapping,raw,24,3
DIF,2018,organized crime,kidnapping,raw,91.63636364,3
DUR,2018,organized crime,kidnapping,raw,52.36363636,3
GUA,2018,organized crime,kidnapping,raw,24,3
GRO,2018,organized crime,kidnapping,raw,149.6103896,3
HID,2018,organized crime,kidnapping,raw,34.36363636,3
JAL,2018,organized crime,kidnapping,raw,34.36363636,3
MEX,2018,organized crime,kidnapping,raw,741.8181818,3
MIC,2018,organized crime,kidnapping,raw,168,3
MOR,2018,organized crime,kidnapping,raw,119.2207792,3
NAY,2018,organized crime,kidnapping,raw,264,3
NLE,2018,organized crime,kidnapping,raw,98.18181818,3
OAX,2018,organized crime,kidnapping,raw,63.27272727,3
PUE,2018,organized crime,kidnapping,raw,98.18181818,3
QUE,2018,organized crime,kidnapping,raw,33.45454545,3
ROO,2018,organized crime,kidnapping,raw,264,3
SLP,2018,organized crime,kidnapping,raw,83.63636364,3
SIN,2018,organized crime,kidnapping,raw,17.81818182,3
SON,2018,organized crime,kidnapping,raw,3.272727273,3
TAB,2018,organized crime,kidnapping,raw,864,3
TAM,2018,organized crime,kidnapping,raw,828,3
TLA,2018,organized crime,kidnapping,raw,6.545454545,3
VER,2018,organized crime,kidnapping,raw,1317.818182,3
YUC,2018,organized crime,kidnapping,raw,4451.478754,3
ZAC,2018,organized crime,kidnapping,raw,93.81818182,3
AGU,2015,organized crime,narcotics,raw,134,4
BCN,2015,organized crime,narcotics,raw,1081,4
BCS,2015,organized crime,narcotics,raw,130,4
CAM,2015,organized crime,narcotics,raw,36,4
COA,2015,organized crime,narcotics,raw,126,4
COL,2015,organized crime,narcotics,raw,79,4
CHP,2015,organized crime,narcotics,raw,174,4
CHH,2015,organized crime,narcotics,raw,315,4
DIF,2015,organized crime,narcotics,raw,485,4
DUR,2015,organized crime,narcotics,raw,108,4
GUA,2015,organized crime,narcotics,raw,291,4
GRO,2015,organized crime,narcotics,raw,352,4
HID,2015,organized crime,narcotics,raw,38,4
JAL,2015,organized crime,narcotics,raw,896,4
MEX,2015,organized crime,narcotics,raw,191,4
MIC,2015,organized crime,narcotics,raw,652,4
MOR,2015,organized crime,narcotics,raw,48,4
NAY,2015,organized crime,narcotics,raw,71,4
NLE,2015,organized crime,narcotics,raw,194,4
OAX,2015,organized crime,narcotics,raw,145,4
PUE,2015,organized crime,narcotics,raw,135,4
QUE,2015,organized crime,narcotics,raw,117,4
ROO,2015,organized crime,narcotics,raw,98,4
SLP,2015,organized crime,narcotics,raw,154,4
SIN,2015,organized crime,narcotics,raw,610,4
SON,2015,organized crime,narcotics,raw,1056,4
TAB,2015,organized crime,narcotics,raw,18,4
TAM,2015,organized crime,narcotics,raw,761,4
TLA,2015,organized crime,narcotics,raw,16,4
VER,2015,organized crime,narcotics,raw,56,4
YUC,2015,organized crime,narcotics,raw,58,4
ZAC,2015,organized crime,narcotics,raw,62,4
AGU,2016,organized crime,narcotics,raw,86,4
BCN,2016,organized crime,narcotics,raw,698,4
BCS,2016,organized crime,narcotics,raw,86,4
CAM,2016,organized crime,narcotics,raw,13,4
COA,2016,organized crime,narcotics,raw,147,4
COL,2016,organized crime,narcotics,raw,64,4
CHP,2016,organized crime,narcotics,raw,147,4
CHH,2016,organized crime,narcotics,raw,343,4
DIF,2016,organized crime,narcotics,raw,353,4
DUR,2016,organized crime,narcotics,raw,90,4
GUA,2016,organized crime,narcotics,raw,177,4
GRO,2016,organized crime,narcotics,raw,408,4
HID,2016,organized crime,narcotics,raw,26,4
JAL,2016,organized crime,narcotics,raw,653,4
MEX,2016,organized crime,narcotics,raw,198,4
MIC,2016,organized crime,narcotics,raw,434,4
MOR,2016,organized crime,narcotics,raw,31,4
NAY,2016,organized crime,narcotics,raw,36,4
NLE,2016,organized crime,narcotics,raw,166,4
OAX,2016,organized crime,narcotics,raw,58,4
PUE,2016,organized crime,narcotics,raw,60,4
QUE,2016,organized crime,narcotics,raw,135,4
ROO,2016,organized crime,narcotics,raw,136,4
SLP,2016,organized crime,narcotics,raw,85,4
SIN,2016,organized crime,narcotics,raw,305,4
SON,2016,organized crime,narcotics,raw,733,4
TAB,2016,organized crime,narcotics,raw,11,4
TAM,2016,organized crime,narcotics,raw,376,4
TLA,2016,organized crime,narcotics,raw,12,4
VER,2016,organized crime,narcotics,raw,51,4
YUC,2016,organized crime,narcotics,raw,59,4
ZAC,2016,organized crime,narcotics,raw,34,4
AGU,2017,organized crime,narcotics,raw,110,4
BCN,2017,organized crime,narcotics,raw,583,4
BCS,2017,organized crime,narcotics,raw,74,4
CAM,2017,organized crime,narcotics,raw,15,4
COA,2017,organized crime,narcotics,raw,167,4
COL,2017,organized crime,narcotics,raw,41,4
CHP,2017,organized crime,narcotics,raw,150,4
CHH,2017,organized crime,narcotics,raw,449,4
DIF,2017,organized crime,narcotics,raw,397,4
DUR,2017,organized crime,narcotics,raw,155,4
GUA,2017,organized crime,narcotics,raw,190,4
GRO,2017,organized crime,narcotics,raw,332,4
HID,2017,organized crime,narcotics,raw,19,4
JAL,2017,organized crime,narcotics,raw,598,4
MEX,2017,organized crime,narcotics,raw,257,4
MIC,2017,organized crime,narcotics,raw,353,4
MOR,2017,organized crime,narcotics,raw,38,4
NAY,2017,organized crime,narcotics,raw,42,4
NLE,2017,organized crime,narcotics,raw,163,4
OAX,2017,organized crime,narcotics,raw,58,4
PUE,2017,organized crime,narcotics,raw,78,4
QUE,2017,organized crime,narcotics,raw,142,4
ROO,2017,organized crime,narcotics,raw,152,4
SLP,2017,organized crime,narcotics,raw,198,4
SIN,2017,organized crime,narcotics,raw,524,4
SON,2017,organized crime,narcotics,raw,582,4
TAB,2017,organized crime,narcotics,raw,7,4
TAM,2017,organized crime,narcotics,raw,293,4
TLA,2017,organized crime,narcotics,raw,9,4
VER,2017,organized crime,narcotics,raw,24,4
YUC,2017,organized crime,narcotics,raw,59,4
ZAC,2017,organized crime,narcotics,raw,64,4
AGU,2018,organized crime,narcotics,raw,105.6,4
BCN,2018,organized crime,narcotics,raw,818.4,4
BCS,2018,organized crime,narcotics,raw,104.4,4
CAM,2018,organized crime,narcotics,raw,12,4
COA,2018,organized crime,narcotics,raw,148.8,4
COL,2018,organized crime,narcotics,raw,48,4
CHP,2018,organized crime,narcotics,raw,123.6,4
CHH,2018,organized crime,narcotics,raw,384,4
DIF,2018,organized crime,narcotics,raw,422.4,4
DUR,2018,organized crime,narcotics,raw,140.4,4
GUA,2018,organized crime,narcotics,raw,196.8,4
GRO,2018,organized crime,narcotics,raw,256.8,4
HID,2018,organized crime,narcotics,raw,34.8,4
JAL,2018,organized crime,narcotics,raw,838.8,4
MEX,2018,organized crime,narcotics,raw,334.8,4
MIC,2018,organized crime,narcotics,raw,268.8,4
MOR,2018,organized crime,narcotics,raw,31.2,4
NAY,2018,organized crime,narcotics,raw,81.6,4
NLE,2018,organized crime,narcotics,raw,232.8,4
OAX,2018,organized crime,narcotics,raw,82.8,4
PUE,2018,organized crime,narcotics,raw,94.8,4
QUE,2018,organized crime,narcotics,raw,171.6,4
ROO,2018,organized crime,narcotics,raw,138,4
SLP,2018,organized crime,narcotics,raw,289.2,4
SIN,2018,organized crime,narcotics,raw,471.6,4
SON,2018,organized crime,narcotics,raw,439.2,4
TAB,2018,organized crime,narcotics,raw,9.6,4
TAM,2018,organized crime,narcotics,raw,218.4,4
TLA,2018,organized crime,narcotics,raw,12,4
VER,2018,organized crime,narcotics,raw,52.8,4
YUC,2018,organized crime,narcotics,raw,52.8,4
ZAC,2018,organized crime,narcotics,raw,72,4
AGU,2015,violent crime,assault,raw,11543.35,5
BCN,2015,violent crime,assault,raw,67979.22222,5
BCS,2015,violent crime,assault,raw,11710.71429,5
CAM,2015,violent crime,assault,raw,812.483871,5
COA,2015,violent crime,assault,raw,22572.85714,5
COL,2015,violent crime,assault,raw,2482.971429,5
CHP,2015,violent crime,assault,raw,6902.826087,5
CHH,2015,violent crime,assault,raw,54941.61702,5
DIF,2015,violent crime,assault,raw,83267.78571,5
DUR,2015,violent crime,assault,raw,23038.34211,5
GUA,2015,violent crime,assault,raw,96021.73913,5
GRO,2015,violent crime,assault,raw,29166.48649,5
HID,2015,violent crime,assault,raw,15410.09615,5
JAL,2015,violent crime,assault,raw,62704.91228,5
MEX,2015,violent crime,assault,raw,157732.4444,5
MIC,2015,violent crime,assault,raw,17021.45455,5
MOR,2015,violent crime,assault,raw,31179.65909,5
NAY,2015,violent crime,assault,raw,3198.103448,5
NLE,2015,violent crime,assault,raw,90939.54545,5
OAX,2015,violent crime,assault,raw,3764.675676,5
PUE,2015,violent crime,assault,raw,43065.14286,5
QUE,2015,violent crime,assault,raw,14264.18182,5
ROO,2015,violent crime,assault,raw,22860.5,5
SLP,2015,violent crime,assault,raw,17178,5
SIN,2015,violent crime,assault,raw,25463.71795,5
SON,2015,violent crime,assault,raw,17078.90244,5
TAB,2015,violent crime,assault,raw,26281.47887,5
TAM,2015,violent crime,assault,raw,33427.77273,5
TLA,2015,violent crime,assault,raw,2879.653846,5
VER,2015,violent crime,assault,raw,25694.28571,5
YUC,2015,violent crime,assault,raw,12790.41463,5
ZAC,2015,violent crime,assault,raw,13916.38889,5
AGU,2016,violent crime,assault,raw,10094.9,5
BCN,2016,violent crime,assault,raw,59662.62963,5
BCS,2016,violent crime,assault,raw,14800,5
CAM,2016,violent crime,assault,raw,826.8387097,5
COA,2016,violent crime,assault,raw,35006.54762,5
COL,2016,violent crime,assault,raw,1334.742857,5
CHP,2016,violent crime,assault,raw,9364.26087,5
CHH,2016,violent crime,assault,raw,52624.97872,5
DIF,2016,violent crime,assault,raw,88528.88571,5
DUR,2016,violent crime,assault,raw,30583.42105,5
GUA,2016,violent crime,assault,raw,99660.86957,5
GRO,2016,violent crime,assault,raw,31744.05405,5
HID,2016,violent crime,assault,raw,19259.42308,5
JAL,2016,violent crime,assault,raw,78557.17544,5
MEX,2016,violent crime,assault,raw,165621.7778,5
MIC,2016,violent crime,assault,raw,17433.81818,5
MOR,2016,violent crime,assault,raw,34617.84091,5
NAY,2016,violent crime,assault,raw,2457.931034,5
NLE,2016,violent crime,assault,raw,93742.72727,5
OAX,2016,violent crime,assault,raw,22802.10811,5
PUE,2016,violent crime,assault,raw,32927.28571,5
